msg_count,send_time,recv_time,latency_us,payload_bytes
49,1755012070583715,1755012070767609,183894,256
40,1755012070577146,1755012070767840,190694,256
38,1755012070576528,1755012070767796,191268,256
38,1755012070576528,1755012070767906,191378,256
38,1755012070576528,1755012070767776,191248,256
32,1755012070569859,1755012070767911,198052,256
34,1755012070571349,1755012070765513,194164,256
51,1755012070584433,1755012070768286,183853,256
52,1755012070584827,1755012070768698,183871,256
54,1755012070585424,1755012070769288,183864,256
41,1755012070577494,1755012070769341,191847,256
50,1755012070584094,1755012070769464,185370,256
39,1755012070576864,1755012070769674,192810,256
39,1755012070576864,1755012070769549,192685,256
39,1755012070576864,1755012070769763,192899,256
35,1755012070571673,1755012070770077,198404,256
52,1755012070584827,1755012070770242,185415,256
33,1755012070570611,1755012070770114,199503,256
53,1755012070585132,1755012070770662,185530,256
55,1755012070586802,1755012070770670,183868,256
40,1755012070577146,1755012070771243,194097,256
42,1755012070577774,1755012070771157,193383,256
51,1755012070584433,1755012070771286,186853,256
40,1755012070577146,1755012070771496,194350,256
40,1755012070577146,1755012070771683,194537,256
36,1755012070571944,1755012070771822,199878,256
53,1755012070585132,1755012070771935,186803,256
34,1755012070571349,1755012070772185,200836,256
54,1755012070585424,1755012070772797,187373,256
56,1755012070587198,1755012070772817,185619,256
41,1755012070577494,1755012070772869,195375,256
43,1755012070578083,1755012070773058,194975,256
52,1755012070584827,1755012070773264,188437,256
41,1755012070577494,1755012070773300,195806,256
37,1755012070572213,1755012070773549,201336,256
41,1755012070577494,1755012070773599,196105,256
54,1755012070585424,1755012070773843,188419,256
35,1755012070571673,1755012070774051,202378,256
55,1755012070586802,1755012070774382,187580,256
57,1755012070587615,1755012070774437,186822,256
42,1755012070577774,1755012070774484,196710,256
44,1755012070578386,1755012070774634,196248,256
53,1755012070585132,1755012070775111,189979,256
42,1755012070577774,1755012070775255,197481,256
38,1755012070576528,1755012070775533,199005,256
55,1755012070586802,1755012070775515,188713,256
42,1755012070577774,1755012070775616,197842,256
36,1755012070571944,1755012070775989,204045,256
56,1755012070587198,1755012070776024,188826,256
45,1755012070578676,1755012070776373,197697,256
58,1755012070587849,1755012070776381,188532,256
43,1755012070578083,1755012070776522,198439,256
54,1755012070585424,1755012070776766,191342,256
56,1755012070587198,1755012070776939,189741,256
39,1755012070576864,1755012070777209,200345,256
43,1755012070578083,1755012070777417,199334,256
37,1755012070572213,1755012070777563,205350,256
57,1755012070587615,1755012070777648,190033,256
43,1755012070578083,1755012070777581,199498,256
46,1755012070582574,1755012070777945,195371,256
59,1755012070588042,1755012070778166,190124,256
55,1755012070586802,1755012070778245,191443,256
57,1755012070587615,1755012070778342,190727,256
44,1755012070578386,1755012070778284,199898,256
40,1755012070577146,1755012070778400,201254,256
44,1755012070578386,1755012070778883,200497,256
58,1755012070587849,1755012070779103,191254,256
38,1755012070576528,1755012070779206,202678,256
44,1755012070578386,1755012070779337,200951,256
47,1755012070582982,1755012070779245,196263,256
60,1755012070588245,1755012070779457,191212,256
56,1755012070587198,1755012070779598,192400,256
58,1755012070587849,1755012070779829,191980,256
45,1755012070578676,1755012070779891,201215,256
41,1755012070577494,1755012070779909,202415,256
45,1755012070578676,1755012070780355,201679,256
59,1755012070588042,1755012070780602,192560,256
48,1755012070583409,1755012070780813,197404,256
39,1755012070576864,1755012070780857,203993,256
45,1755012070578676,1755012070780901,202225,256
61,1755012070588564,1755012070781107,192543,256
46,1755012070582574,1755012070781442,198868,256
59,1755012070588042,1755012070781596,193554,256
57,1755012070587615,1755012070781457,193842,256
46,1755012070582574,1755012070781726,199152,256
42,1755012070577774,1755012070781771,203997,256
49,1755012070583715,1755012070782165,198450,256
60,1755012070588245,1755012070782264,194019,256
40,1755012070577146,1755012070782277,205131,256
46,1755012070582574,1755012070782442,199868,256
62,1755012070588866,1755012070782641,193775,256
60,1755012070588245,1755012070783071,194826,256
47,1755012070582982,1755012070782981,199999,256
58,1755012070587849,1755012070783227,195378,256
47,1755012070582982,1755012070783345,200363,256
50,1755012070584094,1755012070783591,199497,256
43,1755012070578083,1755012070783603,205520,256
61,1755012070588564,1755012070783728,195164,256
41,1755012070577494,1755012070783775,206281,256
47,1755012070582982,1755012070783806,200824,256
63,1755012070589139,1755012070784094,194955,256
61,1755012070588564,1755012070784358,195794,256
48,1755012070583409,1755012070784493,201084,256
48,1755012070583409,1755012070784689,201280,256
59,1755012070588042,1755012070784806,196764,256
51,1755012070584433,1755012070784964,200531,256
44,1755012070578386,1755012070785038,206652,256
42,1755012070577774,1755012070785367,207593,256
48,1755012070583409,1755012070785511,202102,256
64,1755012070589413,1755012070785665,196252,256
49,1755012070583715,1755012070786253,202538,256
62,1755012070588866,1755012070786252,197386,256
62,1755012070588866,1755012070786152,197286,256
49,1755012070583715,1755012070786558,202843,256
60,1755012070588245,1755012070786606,198361,256
52,1755012070584827,1755012070786719,201892,256
45,1755012070578676,1755012070786771,208095,256
49,1755012070583715,1755012070787257,203542,256
65,1755012070589736,1755012070787297,197561,256
43,1755012070578083,1755012070787367,209284,256
50,1755012070584094,1755012070787941,203847,256
63,1755012070589139,1755012070787979,198840,256
63,1755012070589139,1755012070788150,199011,256
50,1755012070584094,1755012070788263,204169,256
53,1755012070585132,1755012070788338,203206,256
61,1755012070588564,1755012070788392,199828,256
46,1755012070582574,1755012070788413,205839,256
50,1755012070584094,1755012070789021,204927,256
66,1755012070590288,1755012070789189,198901,256
51,1755012070584433,1755012070789446,205013,256
44,1755012070578386,1755012070789474,211088,256
64,1755012070589413,1755012070789700,200287,256
64,1755012070589413,1755012070789707,200294,256
62,1755012070588866,1755012070789890,201024,256
47,1755012070582982,1755012070790008,207026,256
51,1755012070584433,1755012070789945,205512,256
54,1755012070585424,1755012070790047,204623,256
51,1755012070584433,1755012070790455,206022,256
67,1755012070590620,1755012070790730,200110,256
52,1755012070584827,1755012070790958,206131,256
65,1755012070589736,1755012070791108,201372,256
45,1755012070578676,1755012070791248,212572,256
48,1755012070583409,1755012070791425,208016,256
65,1755012070589736,1755012070791378,201642,256
63,1755012070589139,1755012070791572,202433,256
55,1755012070586802,1755012070791690,204888,256
52,1755012070584827,1755012070791690,206863,256
52,1755012070584827,1755012070792101,207274,256
53,1755012070585132,1755012070792194,207062,256
68,1755012070591759,1755012070792214,200455,256
66,1755012070590288,1755012070792465,202177,256
49,1755012070583715,1755012070792660,208945,256
46,1755012070582574,1755012070792686,210112,256
66,1755012070590288,1755012070792660,202372,256
64,1755012070589413,1755012070792804,203391,256
56,1755012070587198,1755012070793213,206015,256
53,1755012070585132,1755012070793250,208118,256
53,1755012070585132,1755012070793433,208301,256
54,1755012070585424,1755012070793820,208396,256
67,1755012070590620,1755012070794061,203441,256
69,1755012070592116,1755012070794122,202006,256
47,1755012070582982,1755012070794190,211208,256
50,1755012070584094,1755012070794364,210270,256
65,1755012070589736,1755012070794522,204786,256
67,1755012070590620,1755012070794550,203930,256
57,1755012070587615,1755012070794682,207067,256
54,1755012070585424,1755012070794892,209468,256
54,1755012070585424,1755012070794992,209568,256
55,1755012070586802,1755012070795137,208335,256
68,1755012070591759,1755012070795451,203692,256
70,1755012070592443,1755012070795482,203039,256
51,1755012070584433,1755012070795649,211216,256
48,1755012070583409,1755012070795555,212146,256
68,1755012070591759,1755012070796255,204496,256
66,1755012070590288,1755012070795792,205504,256
58,1755012070587849,1755012070796536,208687,256
55,1755012070586802,1755012070796556,209754,256
55,1755012070586802,1755012070796655,209853,256
56,1755012070587198,1755012070797380,210182,256
49,1755012070583715,1755012070797880,214165,256
71,1755012070592770,1755012070798062,205292,256
69,1755012070592116,1755012070798070,205954,256
67,1755012070590620,1755012070798357,207737,256
52,1755012070584827,1755012070798075,213248,256
69,1755012070592116,1755012070798244,206128,256
56,1755012070587198,1755012070798352,211154,256
59,1755012070588042,1755012070798460,210418,256
56,1755012070587198,1755012070798686,211488,256
57,1755012070587615,1755012070799173,211558,256
50,1755012070584094,1755012070799423,215329,256
70,1755012070592443,1755012070799935,207492,256
72,1755012070593054,1755012070799943,206889,256
68,1755012070591759,1755012070800138,208379,256
53,1755012070585132,1755012070800351,215219,256
70,1755012070592443,1755012070800309,207866,256
57,1755012070587615,1755012070800396,212781,256
60,1755012070588245,1755012070800437,212192,256
57,1755012070587615,1755012070800585,212970,256
51,1755012070584433,1755012070800662,216229,256
58,1755012070587849,1755012070800842,212993,256
71,1755012070592770,1755012070801222,208452,256
73,1755012070593380,1755012070801336,207956,256
69,1755012070592116,1755012070801744,209628,256
54,1755012070585424,1755012070801874,216450,256
61,1755012070588564,1755012070802126,213562,256
71,1755012070592770,1755012070802144,209374,256
58,1755012070587849,1755012070802243,214394,256
52,1755012070584827,1755012070802324,217497,256
58,1755012070587849,1755012070802437,214588,256
59,1755012070588042,1755012070802707,214665,256
72,1755012070593054,1755012070802808,209754,256
74,1755012070593721,1755012070802987,209266,256
70,1755012070592443,1755012070803276,210833,256
55,1755012070586802,1755012070803339,216537,256
62,1755012070588866,1755012070803615,214749,256
59,1755012070588042,1755012070803902,215860,256
53,1755012070585132,1755012070803807,218675,256
72,1755012070593054,1755012070803899,210845,256
59,1755012070588042,1755012070804003,215961,256
60,1755012070588245,1755012070804377,216132,256
73,1755012070593380,1755012070804429,211049,256
75,1755012070594121,1755012070804440,210319,256
71,1755012070592770,1755012070804476,211706,256
56,1755012070587198,1755012070804611,217413,256
54,1755012070585424,1755012070805260,219836,256
60,1755012070588245,1755012070805270,217025,256
63,1755012070589139,1755012070805231,216092,256
73,1755012070593380,1755012070805420,212040,256
60,1755012070588245,1755012070805568,217323,256
61,1755012070588564,1755012070805806,217242,256
72,1755012070593054,1755012070806224,213170,256
74,1755012070593721,1755012070806272,212551,256
76,1755012070594468,1755012070806329,211861,256
57,1755012070587615,1755012070806614,218999,256
55,1755012070586802,1755012070807124,220322,256
74,1755012070593721,1755012070807264,213543,256
61,1755012070588564,1755012070807322,218758,256
61,1755012070588564,1755012070807412,218848,256
64,1755012070589413,1755012070807519,218106,256
62,1755012070588866,1755012070807537,218671,256
73,1755012070593380,1755012070807815,214435,256
75,1755012070594121,1755012070808317,214196,256
58,1755012070587849,1755012070808706,220857,256
77,1755012070594966,1755012070808788,213822,256
62,1755012070588866,1755012070809472,220606,256
0,1755012070550248,1755012070809362,259114,256
75,1755012070594121,1755012070809427,215306,256
62,1755012070588866,1755012070809657,220791,256
63,1755012070589139,1755012070809781,220642,256
65,1755012070589736,1755012070809749,220013,256
74,1755012070593721,1755012070809964,216243,256
76,1755012070594468,1755012070810072,215604,256
59,1755012070588042,1755012070810313,222271,256
78,1755012070595329,1755012070810464,215135,256
63,1755012070589139,1755012070810707,221568,256
56,1755012070587198,1755012070810961,223763,256
